country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,footprint
1,Armenia,Near East and North Africa,2518,Sorghum and products,mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2531,Potatoes and products,mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2531,Potatoes and products,mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2533,Sweet potatoes,mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2533,Sweet potatoes,mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2534,"Roots, Other",mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2534,"Roots, Other",mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2535,Yams,mg_abx_aminoglycosides,0.0
1,Armenia,Near East and North Africa,2535,Yams,mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2536,Sugar cane,mg_abx_aminoglycosides,0.0035957803059723
1,Armenia,Near East and North Africa,2536,Sugar cane,mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2537,Sugar beet,mg_abx_aminoglycosides,0.0035957803059723
1,Armenia,Near East and North Africa,2537,Sugar beet,mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2546,Beans,mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2546,Beans,mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2547,Peas,mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2547,Peas,mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2549,"Pulses, Other and products",mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2549,"Pulses, Other and products",mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2551,Nuts and products,mg_abx_aminoglycosides,1.3438886911800156
1,Armenia,Near East and North Africa,2551,Nuts and products,mg_abx_tetracyclines,1.5021899765427986
1,Armenia,Near East and North Africa,2555,Soyabeans,mg_abx_aminoglycosides,0.0
1,Armenia,Near East and North Africa,2555,Soyabeans,mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2556,Groundnuts (Shelled Eq),mg_abx_aminoglycosides,0.0035957803059723
1,Armenia,Near East and North Africa,2556,Groundnuts (Shelled Eq),mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2557,Sunflower seed,mg_abx_aminoglycosides,0.0035957803059723
1,Armenia,Near East and North Africa,2557,Sunflower seed,mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2561,Sesame seed,mg_abx_aminoglycosides,0.0
1,Armenia,Near East and North Africa,2561,Sesame seed,mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2563,Olives (including preserved),mg_abx_aminoglycosides,1.3438886911800156
1,Armenia,Near East and North Africa,2563,Olives (including preserved),mg_abx_tetracyclines,1.5021899765427988
1,Armenia,Near East and North Africa,2601,Tomatoes and products,mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2601,Tomatoes and products,mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2602,Onions,mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2602,Onions,mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2605,"Vegetables, Other",mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2605,"Vegetables, Other",mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2611,"Oranges, Mandarines",mg_abx_aminoglycosides,1.3438886911800156
1,Armenia,Near East and North Africa,2611,"Oranges, Mandarines",mg_abx_tetracyclines,1.5021899765427988
1,Armenia,Near East and North Africa,2612,"Lemons, Limes and products",mg_abx_aminoglycosides,1.3438886911800154
1,Armenia,Near East and North Africa,2612,"Lemons, Limes and products",mg_abx_tetracyclines,1.5021899765427988
1,Armenia,Near East and North Africa,2613,Grapefruit and products,mg_abx_aminoglycosides,1.3438886911800156
1,Armenia,Near East and North Africa,2613,Grapefruit and products,mg_abx_tetracyclines,1.5021899765427988
1,Armenia,Near East and North Africa,2614,"Citrus, Other",mg_abx_aminoglycosides,1.3438886911800156
1,Armenia,Near East and North Africa,2614,"Citrus, Other",mg_abx_tetracyclines,1.502189976542799
1,Armenia,Near East and North Africa,2617,Apples and products,mg_abx_aminoglycosides,1.3438886911800156
1,Armenia,Near East and North Africa,2617,Apples and products,mg_abx_tetracyclines,1.5021899765427988
1,Armenia,Near East and North Africa,2618,Pineapples and products,mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2618,Pineapples and products,mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2619,Dates,mg_abx_aminoglycosides,1.3438886911800156
1,Armenia,Near East and North Africa,2619,Dates,mg_abx_tetracyclines,1.5021899765427988
1,Armenia,Near East and North Africa,2620,Grapes and products (excl wine),mg_abx_aminoglycosides,1.3438886911800156
1,Armenia,Near East and North Africa,2620,Grapes and products (excl wine),mg_abx_tetracyclines,1.502189976542799
1,Armenia,Near East and North Africa,2625,"Fruits, Other",mg_abx_aminoglycosides,0.0009490644299979
1,Armenia,Near East and North Africa,2625,"Fruits, Other",mg_abx_tetracyclines,4.19244364438645e-06
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_aminoglycosides,16.359897286
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_amphenicols,9.029642288
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_cephalosporins,2.322740964
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_lincosamides,2.339921152
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_macrolides,6.10234844
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_other_drugs,0.149250748
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_penicillins,37.4389801
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_pleuromutilins,0.0
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_polymixins,0.192653888
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_quinolones,2.893941792
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_sulfonamides_trimethoprim,11.719857918
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_tetracyclines,45.72404514714976
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_aminoglycosides,25.49415575471698
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_amphenicols,11.612487316981133
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_cephalosporins,0.6266513188679245
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_lincosamides,30.188752905660376
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_macrolides,19.0101448490566
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_other_drugs,2.5277067245283016
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_penicillins,91.23411507547168
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_pleuromutilins,42.96856337735849
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_polymixins,36.831104679245286
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_quinolones,12.100054928301889
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_sulfonamides_trimethoprim,24.445115547169813
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_tetracyclines,46.79250471698113
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_aminoglycosides,19.89095751600477
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_amphenicols,1.0487431946666663
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_cephalosporins,0.0138545933333333
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_lincosamides,19.941508053333333
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_macrolides,15.719225053333332
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_other_drugs,1.880520644
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_penicillins,46.371578426666666
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_pleuromutilins,6.053294198666666
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_polymixins,13.303558245333331
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_quinolones,2.123486652
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_sulfonamides_trimethoprim,14.488487573333332
1,Armenia,Near East and North Africa,2733,Pigmeat,mg_abx_tetracyclines,57.42675221795048
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_aminoglycosides,2.773448385073631
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_amphenicols,0.0278272277777777
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_cephalosporins,0.0
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_lincosamides,2.6850885625000003
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_macrolides,7.879106966666667
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_other_drugs,0.0
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_penicillins,14.536568347222222
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_pleuromutilins,0.0
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_polymixins,1.4921455
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_quinolones,1.823339466666667
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_sulfonamides_trimethoprim,7.210053798611111
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_tetracyclines,15.489666427474058
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_aminoglycosides,6.801508305490455
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_amphenicols,23.30021657128414
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_arsenicals,0.0
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_cephalosporins,0.0673416663909946
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_glycopeptides,0.0
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_glycophospholipids,0.0
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_lincosamides,0.4040499983459676
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_macrolides,4.983283312933603
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_nitrofurans,0.0
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_orthosomycins,0.0
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_other_drugs,0.0673416663909946
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_penicillins,1.481516660601882
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_pleuromutilins,2.693666655639785
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_polypeptides,1.0101249958649192
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_quinolones,11.313399953687098
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_quinoxalines,0.0
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_streptogramins,0.0
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_sulfonamides_trimethoprim,3.905816650677688
1,Armenia,Near East and North Africa,2761,Freshwater Fish,mg_abx_tetracyclines,10.842008288950137
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_aminoglycosides,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_amphenicols,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_arsenicals,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_cephalosporins,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_glycopeptides,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_glycophospholipids,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_lincosamides,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_macrolides,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_nitrofurans,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_orthosomycins,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_other_drugs,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_penicillins,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_pleuromutilins,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_polypeptides,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_quinolones,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_quinoxalines,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_streptogramins,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_sulfonamides_trimethoprim,0.0
1,Armenia,Near East and North Africa,2765,Crustaceans,mg_abx_tetracyclines,0.0
1,Armenia,Near East and North Africa,2805,Rice (Milled Equivalent),mg_abx_aminoglycosides,0.6289067504321654
1,Armenia,Near East and North Africa,2805,Rice (Milled Equivalent),mg_abx_tetracyclines,0.0720841324803377
2,Afghanistan,South Asia,2511,Wheat and products,mg_abx_aminoglycosides,0.0
2,Afghanistan,South Asia,2511,Wheat and products,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2513,Barley and products,mg_abx_aminoglycosides,0.0035957803059723
2,Afghanistan,South Asia,2513,Barley and products,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2514,Maize and products,mg_abx_aminoglycosides,0.0
2,Afghanistan,South Asia,2514,Maize and products,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2515,Rye and products,mg_abx_aminoglycosides,0.0035957803059723
2,Afghanistan,South Asia,2515,Rye and products,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2516,Oats,mg_abx_aminoglycosides,0.0035957803059723
2,Afghanistan,South Asia,2516,Oats,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2518,Sorghum and products,mg_abx_aminoglycosides,0.0035957803059723
2,Afghanistan,South Asia,2518,Sorghum and products,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2531,Potatoes and products,mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2531,Potatoes and products,mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2533,Sweet potatoes,mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2533,Sweet potatoes,mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2534,"Roots, Other",mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2534,"Roots, Other",mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2535,Yams,mg_abx_aminoglycosides,0.0
2,Afghanistan,South Asia,2535,Yams,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2536,Sugar cane,mg_abx_aminoglycosides,0.0035957803059723
2,Afghanistan,South Asia,2536,Sugar cane,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2537,Sugar beet,mg_abx_aminoglycosides,0.0035957803059723
2,Afghanistan,South Asia,2537,Sugar beet,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2546,Beans,mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2546,Beans,mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2547,Peas,mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2547,Peas,mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2549,"Pulses, Other and products",mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2549,"Pulses, Other and products",mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2551,Nuts and products,mg_abx_aminoglycosides,1.3438886911800156
2,Afghanistan,South Asia,2551,Nuts and products,mg_abx_tetracyclines,1.5021899765427986
2,Afghanistan,South Asia,2555,Soyabeans,mg_abx_aminoglycosides,0.0
2,Afghanistan,South Asia,2555,Soyabeans,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2556,Groundnuts (Shelled Eq),mg_abx_aminoglycosides,0.0035957803059723
2,Afghanistan,South Asia,2556,Groundnuts (Shelled Eq),mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2557,Sunflower seed,mg_abx_aminoglycosides,0.0035957803059723
2,Afghanistan,South Asia,2557,Sunflower seed,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2561,Sesame seed,mg_abx_aminoglycosides,0.0
2,Afghanistan,South Asia,2561,Sesame seed,mg_abx_tetracyclines,0.0
2,Afghanistan,South Asia,2563,Olives (including preserved),mg_abx_aminoglycosides,1.3438886911800156
2,Afghanistan,South Asia,2563,Olives (including preserved),mg_abx_tetracyclines,1.5021899765427988
2,Afghanistan,South Asia,2601,Tomatoes and products,mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2601,Tomatoes and products,mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2602,Onions,mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2602,Onions,mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2605,"Vegetables, Other",mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2605,"Vegetables, Other",mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2611,"Oranges, Mandarines",mg_abx_aminoglycosides,1.3438886911800156
2,Afghanistan,South Asia,2611,"Oranges, Mandarines",mg_abx_tetracyclines,1.5021899765427988
2,Afghanistan,South Asia,2612,"Lemons, Limes and products",mg_abx_aminoglycosides,1.3438886911800154
2,Afghanistan,South Asia,2612,"Lemons, Limes and products",mg_abx_tetracyclines,1.5021899765427988
2,Afghanistan,South Asia,2613,Grapefruit and products,mg_abx_aminoglycosides,1.3438886911800156
2,Afghanistan,South Asia,2613,Grapefruit and products,mg_abx_tetracyclines,1.5021899765427988
2,Afghanistan,South Asia,2614,"Citrus, Other",mg_abx_aminoglycosides,1.3438886911800156
2,Afghanistan,South Asia,2614,"Citrus, Other",mg_abx_tetracyclines,1.502189976542799
2,Afghanistan,South Asia,2617,Apples and products,mg_abx_aminoglycosides,1.3438886911800156
2,Afghanistan,South Asia,2617,Apples and products,mg_abx_tetracyclines,1.5021899765427988
2,Afghanistan,South Asia,2618,Pineapples and products,mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2618,Pineapples and products,mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2619,Dates,mg_abx_aminoglycosides,1.3438886911800156
2,Afghanistan,South Asia,2619,Dates,mg_abx_tetracyclines,1.5021899765427988
2,Afghanistan,South Asia,2620,Grapes and products (excl wine),mg_abx_aminoglycosides,1.3438886911800156
2,Afghanistan,South Asia,2620,Grapes and products (excl wine),mg_abx_tetracyclines,1.502189976542799
2,Afghanistan,South Asia,2625,"Fruits, Other",mg_abx_aminoglycosides,0.0009490644299979
2,Afghanistan,South Asia,2625,"Fruits, Other",mg_abx_tetracyclines,4.19244364438645e-06
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_aminoglycosides,6.035363228
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_amphenicols,6.43307797
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_cephalosporins,0.7629262139999999
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_lincosamides,0.450153188
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_macrolides,4.324490896
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_other_drugs,1.622827148
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_penicillins,13.856841944
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_pleuromutilins,0.0
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_polymixins,0.107072504
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_quinolones,2.08435855
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_sulfonamides_trimethoprim,5.826509382
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_tetracyclines,62.077135607149756
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_aminoglycosides,9.16114323962264
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_amphenicols,8.058602256603773
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_cephalosporins,1.1301355377358488
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_lincosamides,5.657056003773585
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_macrolides,13.122289371698113
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_other_drugs,26.77124896226415
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_penicillins,32.89150281132075
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_pleuromutilins,7.137079728301886
